CustomerID,frequency_cal,recency_cal,T_cal,frequency_holdout,duration_holdout,predicted_purchases
12346.0,0.0,0.0,235.0,0.0,90.0,0.22160729977679114
12347.0,4.0,238.0,277.0,2.0,90.0,1.2763309637096956
12348.0,2.0,110.0,268.0,1.0,90.0,0.6723075413714484
12350.0,0.0,0.0,220.0,0.0,90.0,0.23378822040454664
12352.0,3.0,34.0,206.0,3.0,90.0,0.7245521859312716
12353.0,0.0,0.0,114.0,0.0,90.0,0.3826566754996914
12354.0,0.0,0.0,142.0,0.0,90.0,0.3274948397205745
12355.0,0.0,0.0,124.0,0.0,90.0,0.36093462465147813
12356.0,1.0,80.0,235.0,1.0,90.0,0.40316531016771645
12358.0,0.0,0.0,60.0,1.0,90.0,0.5675414415022326
12359.0,3.0,142.0,241.0,2.0,90.0,1.084337678638934
12360.0,1.0,88.0,110.0,1.0,90.0,0.8621374941270183
12361.0,0.0,0.0,197.0,0.0,90.0,0.25531426295377313
12362.0,5.0,183.0,205.0,7.0,90.0,1.993732005136161
12363.0,1.0,133.0,152.0,0.0,90.0,0.688785166819448
12364.0,0.0,0.0,22.0,3.0,90.0,
12365.0,0.0,0.0,201.0,0.0,90.0,0.2512895499399343
12370.0,2.0,86.0,270.0,1.0,90.0,0.6231817553978686
12372.0,1.0,84.0,206.0,1.0,90.0,0.4739317146116647
12373.0,0.0,0.0,221.0,0.0,90.0,0.2329345461570506
12375.0,0.0,0.0,8.0,2.0,90.0,
12377.0,1.0,39.0,264.0,0.0,90.0,0.27684512776946246
12378.0,0.0,0.0,39.0,0.0,90.0,
12379.0,1.0,15.0,80.0,1.0,90.0,0.9146266923718104
12380.0,0.0,0.0,95.0,4.0,90.0,0.43211174131822516
12381.0,1.0,19.0,29.0,4.0,90.0,1.7501987374602908
12383.0,5.0,168.0,262.0,0.0,90.0,1.5664449871676964
12384.0,0.0,0.0,31.0,2.0,90.0,
12386.0,1.0,29.0,276.0,0.0,90.0,0.23482050474563987
12388.0,3.0,178.0,236.0,2.0,90.0,1.134755813260998
12393.0,2.0,87.0,242.0,1.0,90.0,0.7135425265853256
12394.0,0.0,0.0,127.0,1.0,90.0,0.3548929199341711
12395.0,9.0,259.0,281.0,4.0,90.0,2.623664389181914
12397.0,0.0,0.0,45.0,1.0,90.0,0.6559182404071625
12399.0,3.0,142.0,171.0,0.0,90.0,1.4798482234689891
12401.0,0.0,0.0,213.0,0.0,90.0,0.2399442296874664
12402.0,0.0,0.0,233.0,0.0,90.0,0.22315739929121212
12405.0,0.0,0.0,58.0,0.0,90.0,0.5779133915270308
12406.0,1.0,61.0,93.0,1.0,90.0,0.9453775851839158
12407.0,3.0,130.0,174.0,1.0,90.0,1.4500474332317652
12408.0,5.0,162.0,170.0,1.0,90.0,2.3178804562195774
12409.0,1.0,65.0,92.0,2.0,90.0,0.9601083660876767
12410.0,1.0,7.0,218.0,0.0,90.0,0.2522029818528348
12412.0,1.0,32.0,79.0,1.0,90.0,0.9985651067427745
12413.0,2.0,101.0,247.0,1.0,90.0,0.7222388508453482
12414.0,2.0,93.0,220.0,0.0,90.0,0.8045271961776782
12415.0,12.0,238.0,247.0,5.0,90.0,3.8394349999919997
12417.0,8.0,251.0,267.0,3.0,90.0,2.458759046683272
12418.0,0.0,0.0,22.0,0.0,90.0,
12421.0,2.0,205.0,229.0,1.0,90.0,0.8501348677608029
12422.0,2.0,229.0,234.0,0.0,90.0,0.8391779257184819
12423.0,7.0,255.0,263.0,1.0,90.0,2.20551456365066
12424.0,0.0,0.0,72.0,0.0,90.0,0.5124128646870667
12426.0,0.0,0.0,104.0,0.0,90.0,0.4071761642816658
12427.0,1.0,20.0,281.0,3.0,90.0,0.20390065414210992
12428.0,8.0,175.0,193.0,1.0,90.0,3.2034196350341753
